,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,224.22000122070312,224.86000061035156,216.27999877929688,221.90333557128906,221.90333557128906,71163900,292.3900146484375,293.42999267578125,291.0799865722656,293.0799865722656,288.552490234375,20075300,136.71128845214844,136.86424255371094,134.88528442382812,136.1567840576172,126.46160888671875,3215195,150.22999572753906,151.67999267578125,149.08999633789062,150.19000244140625,148.87843322753906,92229700
2021-08-18,223.25,231.92333984375,223.11666870117188,229.663330078125,229.663330078125,61048200,292.0400085449219,294.82000732421875,290.2699890136719,290.7300109863281,286.78680419921875,21813000,135.4397735595703,135.67877197265625,133.26004028320312,133.33651733398438,123.84214782714844,3672192,149.8000030517578,150.72000122070312,146.14999389648438,146.36000061035156,145.0818634033203,86326000
2021-08-19,226.07000732421875,228.85000610351562,222.52999877929688,224.49000549316406,224.49000549316406,42940500,288.69000244140625,297.4700012207031,288.6400146484375,296.7699890136719,292.744873046875,29850500,132.5908203125,133.31739807128906,131.1759033203125,131.95028686523438,122.55463409423828,4351465,145.02999877929688,148.0,144.5,146.6999969482422,145.41888427734375,86960300
2021-08-20,227.61666870117188,230.7100067138672,224.56666564941406,226.75332641601562,226.75332641601562,44525700,299.7200012207031,305.8399963378906,298.05999755859375,304.3599853515625,300.2319030761719,40817600,131.68260192871094,133.25047302246094,131.2332763671875,132.9923553466797,123.52249908447266,2780059,147.44000244140625,148.5,146.77999877929688,148.19000244140625,146.89588928222656,60549600
2021-08-23,228.47999572753906,237.3766632080078,226.9166717529297,235.43333435058594,235.43333435058594,60794700,303.25,305.3999938964844,301.8500061035156,304.6499938964844,300.51800537109375,22830200,133.47991943359375,133.9866180419922,132.69598388671875,133.47991943359375,123.9753646850586,3179422,148.30999755859375,150.19000244140625,147.88999938964844,149.7100067138672,148.4026336669922,60131800
2021-08-24,236.89332580566406,238.4066619873047,234.2133331298828,236.163330078125,236.163330078125,39249300,305.0199890136719,305.6499938964844,302.0,302.6199951171875,298.5155334472656,18175800,133.6328887939453,134.06309509277344,133.193115234375,133.69024658203125,124.17070770263672,2474418,149.4499969482422,150.86000061035156,149.14999389648438,149.6199951171875,148.31338500976562,48606400
2021-08-25,235.67666625976562,238.99000549316406,234.6666717529297,237.06666564941406,237.06666564941406,37936800,304.29998779296875,304.5899963378906,300.4200134277344,302.010009765625,297.913818359375,20006100,133.7667236328125,134.6080322265625,133.32696533203125,133.70936584472656,124.18846893310547,2105389,149.80999755859375,150.32000732421875,147.8000030517578,148.36000061035156,147.06442260742188,58991300
2021-08-26,236.10333251953125,238.46665954589844,232.5399932861328,233.72000122070312,233.72000122070312,39642900,300.989990234375,302.42999267578125,298.95001220703125,299.0899963378906,295.03338623046875,17666100,133.8145294189453,134.6080322265625,132.6099395751953,132.67686462402344,123.2294692993164,2613640,148.35000610351562,149.1199951171875,147.50999450683594,147.5399932861328,146.25155639648438,48597200
2021-08-27,235.0,238.3333282470703,234.03334045410156,237.30667114257812,237.30667114257812,41501400,298.989990234375,300.8699951171875,296.8299865722656,299.7200012207031,295.6549072265625,22605700,132.6099395751953,133.4512481689453,132.31358337402344,133.27915954589844,123.78887939453125,2572637,147.47999572753906,148.75,146.8300018310547,148.60000610351562,147.3023223876953,55802400
2021-08-30,238.24000549316406,243.6666717529297,237.57666015625,243.6366729736328,243.6366729736328,55812600,301.1199951171875,304.2200012207031,301.05999755859375,303.5899963378906,299.47235107421875,16348100,133.36520385742188,133.72848510742188,132.71510314941406,132.85850524902344,123.398193359375,2087293,149.0,153.49000549316406,148.61000061035156,153.1199951171875,151.78285217285156,90956700
