,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM
2021-08-24 00:00:00-04:00,305.0199890136719,305.6499938964844,302.0,302.6199951171875,299.2632141113281,18175800,133.6328887939453,134.06309509277344,133.193115234375,133.69024658203125,124.17070007324219,2474418
2021-08-25 00:00:00-04:00,304.29998779296875,304.5899963378906,300.4200134277344,302.010009765625,298.6600036621094,20006100,133.7667236328125,134.6080322265625,133.32696533203125,133.70936584472656,124.1884536743164,2105389
2021-08-26 00:00:00-04:00,300.989990234375,302.42999267578125,298.95001220703125,299.0899963378906,295.7723693847656,17666100,133.8145294189453,134.6080322265625,132.6099395751953,132.67686462402344,123.2294692993164,2613640
2021-08-27 00:00:00-04:00,298.989990234375,300.8699951171875,296.8299865722656,299.7200012207031,296.3954162597656,22605700,132.6099395751953,133.4512481689453,132.31358337402344,133.27915954589844,123.78887939453125,2572637
2021-08-30 00:00:00-04:00,301.1199951171875,304.2200012207031,301.05999755859375,303.5899963378906,300.2224426269531,16348100,133.36520385742188,133.72848510742188,132.71510314941406,132.85850524902344,123.39818572998047,2087293
2021-08-31 00:00:00-04:00,304.4200134277344,304.5,301.5,301.8800048828125,298.5314636230469,26285300,133.4034423828125,134.7418670654297,132.83938598632812,134.1682586669922,124.61466979980469,4429915
2021-09-01 00:00:00-04:00,302.8699951171875,305.19000244140625,301.489990234375,301.8299865722656,298.48199462890625,18983800,133.8240966796875,133.91014099121094,133.06883239746094,133.1739959716797,123.69120788574219,2588327
2021-09-02 00:00:00-04:00,302.20001220703125,303.3599853515625,300.17999267578125,301.1499938964844,297.80950927734375,16285600,133.57553100585938,133.89100646972656,132.91586303710938,133.85276794433594,124.3216323852539,2840413
2021-09-03 00:00:00-04:00,300.989990234375,302.6000061035156,300.260009765625,301.1400146484375,297.7996826171875,14747900,133.53729248046875,134.29254150390625,133.1739959716797,133.44168090820312,123.9398422241211,2009575
2021-09-07 00:00:00-04:00,301.010009765625,301.0899963378906,298.20001220703125,300.17999267578125,296.8503112792969,17180400,133.50860595703125,133.64244079589844,131.70172119140625,131.988525390625,122.59014892578125,3436110
2021-09-08 00:00:00-04:00,299.7799987792969,300.6099853515625,297.4700012207031,300.2099914550781,296.8799743652344,15046800,132.06500244140625,132.97323608398438,131.5487518310547,132.5717010498047,123.13179016113281,3122728
